"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"8437","大地-KY",33.29,800.70,221.56,206.02,43.79,7.04,51.84,1.47,248.29,3.31,0.35,15.52,22.14,99.23,43.28,7.19,77.21,147.45,41.54
"8440","綠電",15.82,868.05,655.23,518.03,"*****",11.90,30.67,16.48,22.14,15.45,1.51,6.70,8.01,12.70,4.31,1.02,0.00,0.00,0.00
"8444","綠河-KY",46.83,112.08,79.15,69.59,819.40,19.48,18.73,19.38,18.83,1.34,0.87,10.48,16.90,37.84,10.79,3.93,42.28,155.33,17.57
"8446","華研",49.46,7750.41,191.50,182.67,172.71,20.85,17.50,1.44,253.47,71.51,0.67,13.42,24.27,63.88,20.05,5.43,16.83,65.41,0.49
"8450","霹靂",15.77,528.57,683.53,626.65,-124.66,6.34,57.57,1.99,183.41,2.24,0.44,-7.25,-10.03,-19.64,-16.46,0.48,42.64,38.24,-2.95
"8455","大拓-KY",67.34,371.47,137.51,128.49,7.15,2.84,128.52,29.46,12.38,13.76,1.53,4.39,15.79,18.86,2.58,2.15,5.49,"NA",6.72
"8472","夠麻吉",68.28,2185.32,103.90,96.69,"*****",119.95,3.04,"NA","NA",286.26,3.04,8.87,30.51,53.78,14.05,4.84,9.55,655.84,1.74
"8905","裕國",50.35,219.63,176.07,33.32,1709.43,14.09,25.90,1.09,334.86,3.38,0.78,12.15,28.58,59.56,14.97,4.67,78.89,99.16,33.24
"8906","花王",18.40,118.59,196.46,167.32,-30.03,3.64,100.27,11.42,31.96,0.58,0.42,-2.10,-0.03,-1.95,-5.20,-0.21,7.16,-59.98,-0.39
"8908","欣雄",50.95,95.26,90.25,69.41,57.85,10.84,33.67,33.94,10.75,2.99,1.89,8.39,17.15,25.37,4.35,2.11,23.72,125.28,6.02
"8916","光隆",46.48,339.02,222.33,60.42,12.66,12.64,28.87,2.89,126.29,7.94,1.66,7.66,14.38,48.26,4.23,4.00,0.87,31.06,-4.97
"8917","欣泰",41.66,153.61,168.45,165.63,167378.00,9.17,39.80,70.74,5.15,1.47,0.70,4.75,7.89,13.70,6.77,1.14,49.34,105.57,8.85
"8921","沈氏",21.43,218.86,239.67,208.83,2013.03,4.03,90.57,10.71,34.08,1.84,0.68,5.27,6.72,14.30,7.75,1.20,45.40,142.49,2.00
"8923","時報",38.29,4708.84,193.69,152.11,0.00,2.81,129.89,1.90,192.10,38.10,0.51,4.16,6.75,11.35,8.09,0.95,18.49,144.74,3.48
"8924","大田",38.38,285.03,242.98,171.68,-5.16,6.14,59.44,5.67,64.37,4.56,1.14,-0.83,-1.59,-3.20,-0.85,-0.50,37.05,67.39,9.70
"8927","北基",43.56,85.95,64.76,57.04,-5.50,32.88,11.10,39.59,9.21,2.62,1.62,-2.39,-4.98,-4.97,-1.67,-0.55,-8.13,125.91,-4.81
"8928","鉅明",62.80,130.33,117.66,95.64,2257.51,4.43,82.39,6.89,52.97,3.55,1.24,14.62,39.92,44.66,9.97,4.25,14.17,3.53,8.55
"8929","富堡",31.27,283.94,280.18,241.99,43.85,4.55,80.21,9.75,37.43,3.98,0.96,3.91,5.62,21.27,3.68,1.37,26.17,103.01,1.48
"8930","青鋼",43.89,133.52,214.29,156.22,7.00,5.25,69.52,5.95,61.34,1.29,0.76,1.79,2.56,6.31,1.94,0.40,27.17,33.70,-0.71
"8931","大汽電",44.11,168.89,126.13,81.24,20.79,9.90,36.86,6.67,54.72,1.03,0.49,5.02,8.43,15.16,9.65,1.26,22.51,113.43,0.47
"8932","智通*",67.11,135.32,97.15,61.88,345.72,5.51,66.24,4.10,89.02,2.37,0.83,4.04,9.05,9.31,3.39,0.77,9.53,59.92,6.19
"8933","愛地雅",57.75,366.32,155.58,88.27,612.92,2.86,127.62,2.72,134.19,6.46,0.77,3.05,6.42,12.18,3.07,0.89,-9.38,49.77,-11.71
"8935","邦泰",42.93,177.36,249.68,162.25,-4.15,2.69,135.68,2.94,124.14,0.92,0.42,-5.64,-11.09,-8.44,-16.03,-0.94,25.79,-157.97,4.26
"8936","國統",45.39,660.12,189.53,80.15,40.40,16.29,22.40,1.29,282.94,5.30,0.51,8.11,13.75,40.45,15.52,3.31,0.00,38.80,0.00
"8937","合騏",9.58,459.55,971.70,770.27,8530.33,12.02,30.36,3.20,114.06,2.63,0.53,1.82,2.03,3.53,3.43,0.22,25.13,289.68,0.82
"8938","明安",45.00,174.00,156.00,103.00,-0.25,4.72,77.33,5.35,68.22,4.61,1.35,-0.93,-2.34,-1.41,-0.81,-0.58,25.00,69.00,9.69
"8941","關中",70.32,111.57,64.06,25.33,869.46,4.36,83.71,4.53,80.57,3.28,1.53,14.57,67.59,129.63,9.10,13.12,-18.02,-163.45,-12.38
"8942","森鉅",19.22,167.77,241.42,177.78,63.55,5.02,72.70,2.79,130.82,1.01,0.44,8.56,11.32,45.58,19.01,4.52,31.81,47.96,4.29
"9949","琉園",20.85,322.06,459.75,246.20,6.90,5.52,66.12,0.46,793.47,1.97,0.54,0.23,0.13,1.50,0.19,0.02,11.63,70.45,-1.34
"9950","萬國通",62.44,120.88,116.42,69.59,10.93,8.30,43.97,5.27,69.25,3.04,1.35,3.38,8.92,16.63,2.27,1.70,9.41,34.65,2.40
"9951","皇田",49.29,185.15,205.82,148.89,9052.17,4.83,75.56,3.75,97.33,2.45,0.93,17.65,34.35,94.18,18.80,7.81,39.23,89.14,0.80
"9960","邁達康",34.10,6952.50,359.34,262.04,12.73,24.90,14.65,1.97,185.27,89.29,0.84,3.13,4.51,8.07,3.47,0.63,26.41,112.37,4.58
"9962","有益",26.11,363.42,306.89,61.68,7.91,30.13,12.11,3.77,96.81,9.81,2.22,1.63,1.74,2.25,0.65,0.20,-33.04,47.05,-17.14
