"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"8066","來思達",65.71,1256.64,184.28,175.89,14.58,6.17,59.15,240.64,1.51,82.77,2.98,7.71,11.08,69.13,2.39,2.43,23.84,117.19,6.37
"8067","志旭",60.00,238.14,177.14,109.51,-5.25,5.19,70.32,1.40,260.71,2.27,0.53,-5.68,-15.24,-9.99,-12.12,-1.13,0.00,414.56,0.00
"8068","全達",49.94,11716.30,120.18,101.54,-2.99,5.29,68.99,21.77,16.76,54.90,1.65,-1.71,-4.12,-3.60,-1.30,-0.36,-18.61,-28.04,-17.30
"8069","元太",32.22,826.80,189.49,169.87,39.34,8.90,41.01,4.18,87.32,3.76,0.35,8.43,12.11,36.55,23.45,3.18,42.52,129.85,7.12
"8071","能率網通",69.30,181.47,112.02,88.66,5.34,4.69,77.82,6.58,55.47,4.70,1.03,1.71,4.00,18.20,1.21,0.28,-3.26,108.17,-4.97
"8074","鉅橡",40.49,140.98,135.94,89.00,1146.29,3.10,117.74,2.22,164.41,1.21,0.50,3.21,5.42,12.32,5.81,0.91,30.73,65.96,11.24
"8076","伍豐",41.96,1057.29,112.06,83.87,-1.05,3.08,118.50,1.67,218.56,6.28,0.35,-0.92,-2.15,-2.34,-3.71,-0.26,11.46,230.43,7.97
"8077","洛碁",80.32,374.14,45.06,43.11,-897.57,8.47,43.09,"NA","NA",0.41,0.09,-15.62,-66.92,-73.13,-194.41,-7.82,8.25,209.79,1.49
"8080","泰霖",92.24,57.21,52.30,44.08,1613.31,0.15,2433.33,0.92,396.73,0.91,0.13,-14.33,-164.11,-14.02,-108.44,-0.82,-12.11,-5270.70,-88.78
"8083","瑞穎",39.43,143.87,144.54,89.11,14680.00,3.50,104.28,3.03,120.46,2.20,1.00,20.89,32.45,138.15,20.67,11.10,14.95,71.57,-16.09
"8084","巨虹",60.35,494.18,163.86,87.84,-1229.93,2.85,128.07,3.38,107.98,8.77,0.87,-13.97,-35.83,-25.19,-17.13,-2.55,13.97,-11.24,9.62
"8085","福華",49.17,398.00,604.13,556.71,-277.00,3.45,105.79,5.96,61.24,1.25,0.28,-2.05,-5.11,-4.74,-9.17,-0.47,-18.43,-297.91,-2.09
"8086","宏捷科",10.57,354.82,738.99,653.95,246.13,6.29,58.02,4.97,73.44,1.99,0.56,9.95,11.71,36.67,17.58,3.75,107.45,89.75,5.75
"8087","麗升能源",18.54,152.86,494.43,442.52,-6.56,3.26,111.96,8.53,42.79,0.29,0.19,-1.55,-2.07,-1.84,-9.32,-0.20,69.27,397.91,2.48
"8089","康全電訊",33.39,1231.98,308.46,250.98,179.08,6.33,57.66,4.36,83.71,21.58,1.40,10.97,17.56,42.30,7.78,3.96,67.00,110.95,22.31
"8091","翔名",17.88,185.07,538.42,395.18,20518.43,5.82,62.71,2.48,147.17,0.97,0.46,6.26,7.37,50.76,13.49,4.00,104.42,100.32,6.43
"8092","建暐",61.00,156.00,183.00,47.00,-180.00,4.30,84.88,0.88,414.77,0.85,0.38,-1.75,-5.96,-5.11,-5.98,-0.49,7.48,-16.87,3.09
"8093","保銳",44.77,189.32,110.49,38.55,9.74,5.72,63.81,1.86,196.23,2.45,0.80,3.26,4.94,3.87,3.65,0.30,13.57,-22.26,9.96
"8096","擎亞",62.04,1857.77,155.02,106.88,1.84,9.15,39.89,18.50,19.72,204.31,4.33,2.46,4.03,9.04,0.36,0.71,-2.49,-54.27,-5.34
"8097","常珵",51.00,722.60,122.84,97.32,-0.72,8.31,43.92,5.12,71.28,1.30,0.14,-0.93,-3.45,-3.72,-12.35,-0.37,28.49,34.22,3.13
"8099","大世科",50.98,1393.37,184.59,123.47,116.92,5.94,61.44,4.49,81.29,40.37,1.49,5.10,10.91,20.20,3.39,1.64,8.03,66.33,0.38
"8107","大億金茂",40.41,197.53,173.20,144.09,1.74,4.09,89.24,5.66,64.48,0.83,0.36,0.54,0.36,0.87,0.65,0.06,25.80,47.20,0.56
